variant,slug,load_case,w_max_m,M11_max_tonfm_m,F11_max_kNm,T_beam_kNm,M3_beam_kNm,Mmax_max_tonfm_m,Mmin_min_tonfm_m,Vmax_max_kNm
Shell-Thin,shell_thin,Dead,-0.00372906,0.243746,1.15415,5.51861,0.0787259,0.243746,-0.0932939,163.014
Shell-Thin,shell_thin,SCP,-0.0127394,0.933401,3.11868,23.3077,0.212728,0.933401,-0.439323,677.832
Shell-Thin,shell_thin,Live,-0.00636971,0.466701,1.55934,11.6538,0.106364,0.466701,-0.219662,338.916
Shell-Thick,shell_thick,Dead,-0.00351519,0.255185,1.13165,5.64333,0.081928,0.255185,-0.105807,12.8284
Shell-Thick,shell_thick,SCP,-0.0119763,0.985043,3.05708,23.866,0.221324,0.985043,-0.498349,30.2119
Shell-Thick,shell_thick,Live,-0.00598814,0.492522,1.52854,11.933,0.110662,0.492522,-0.249174,15.1059
Plate-Thin,plate_thin,Dead,-0.0037298,0.243767,0,5.51812,1.87715e-13,0.243767,-0.0932728,163.014
Plate-Thin,plate_thin,SCP,-0.0127414,0.933461,0,23.3064,2.09321e-13,0.933461,-0.439266,677.833
Plate-Thin,plate_thin,Live,-0.00637071,0.46673,0,11.6532,1.04661e-13,0.46673,-0.219633,338.917
Plate-Thick,plate_thick,Dead,-0.00351591,0.255207,0,5.64283,1.24736e-12,0.255207,-0.105786,12.8284
Plate-Thick,plate_thick,SCP,-0.0119782,0.985102,0,23.8647,4.69335e-13,0.985102,-0.498293,30.2119
Plate-Thick,plate_thick,Live,-0.00598912,0.492551,0,11.9324,2.34667e-13,0.492551,-0.249146,15.1059
Membrane,membrane,Dead,-0.000575951,0,0.568019,5.32907e-15,0.0387451,0,0,0
Membrane,membrane,SCP,-0.00183567,0,1.84205,1.42109e-14,0.125648,0,0,0
Membrane,membrane,Live,-0.000917835,0,0.921026,7.10543e-15,0.062824,0,0,0
