# barrido de la animación modal — 147 modelos, 100 con modal en el registro
# (37 ids de _ids.txt no están en el registro: 1st-floor, 2nd-floor, arco, assembly, beam_3d, benchmark-steel-beam, boundary_conditions, burj, col-placa, edif-acero-diag, edif-mixto, edif-muros, eiffel, intro_fem, losa-plana, losa-rect, modal_analysis, muro-contencion, muro-q4, nuevo, opera, placa-orificios, placa-xy, plate-thick-validacion, property_modifiers, puente, releases, shape_functions, shell_q4, static_analysis, stiffness_bar, stiffness_beam, talud, twisted, viga-alta, viga-q4, workspace_existent)
# id | tipo | estado | nudos | modos | cos(dib,φ) | cos(dib,Dead) | cos(φ,Dead) | exceso | veredicto
1st-floor |  | sin-registro |  |  | — | — | — | — | sin-registro | el id no está en el registro del workspace
2nd-floor |  | sin-registro |  |  | — | — | — | — | sin-registro | el id no está en el registro del workspace
W1_barra_axial |  | ok | 4 | 8 | 1.000000 | 0.0000 | 0.0000 | 0.0e+0 | ✅ | 
W2_viga_axial_cantilever |  | ok | 2 | 6 | 1.000000 | 0.0000 | 0.0000 | 0.0e+0 | ✅ | 
W2_viga_axial_composite_cantilever |  | ok | 2 | 6 | 1.000000 | 0.0000 | 0.0000 | 0.0e+0 | ✅ | 
W2_viga_axial_composite_encased_cantilever |  | ok | 2 | 6 | 1.000000 | 0.0000 | 0.0000 | 0.0e+0 | ✅ | 
W2_viga_axial_concrete_cantilever |  | ok | 2 | 6 | 1.000000 | 0.0000 | 0.0000 | 0.0e+0 | ✅ | 
W2_viga_flexion_composite_encased_cantilever |  | ok | 11 | 6 | 1.000000 | 0.9997 | 0.9997 | 2.2e-16 | ✅ | 
W2_viga_flexion_composite_slab_cantilever |  | ok | 11 | 6 | 1.000000 | 0.0000 | 0.0000 | 8.5e-22 | ✅ | 
W2_viga_flexion_concrete_cantilever |  | ok | 11 | 6 | 1.000000 | 0.0000 | 0.0000 | 5.3e-23 | ✅ | 
W2_viga_flexion_steel_cantilever |  | ok | 11 | 6 | 1.000000 | 0.0000 | 0.0000 | 2.6e-23 | ✅ | 
arco |  | sin-registro |  |  | — | — | — | — | sin-registro | el id no está en el registro del workspace
assembly |  | sin-registro |  |  | — | — | — | — | sin-registro | el id no está en el registro del workspace
beam_3d |  | sin-registro |  |  | — | — | — | — | sin-registro | el id no está en el registro del workspace
benchmark-3way |  | sin-modal |  |  | — | — | — | — | sin-modal | hasModal=false en el registro
benchmark-cft |  | sin-modal |  |  | — | — | — | — | sin-modal | hasModal=false en el registro
benchmark-cft-cantilever |  | ok | 11 | 3 | 1.000000 | 0.0000 | 0.0000 | 1.1e-15 | ✅ | 
benchmark-concrete-cantilever |  | ok | 11 | 3 | 1.000000 | 0.0000 | 0.0000 | 1.9e-15 | ✅ | 
benchmark-paz-10-7 |  | ok | 5 | 4 | 1.000000 | 0.9992 | 0.9992 | 0.0e+0 | ✅ | 
benchmark-paz-11-1 |  | ok | 3 | 3 | 1.000000 | 0.0000 | 0.0000 | 0.0e+0 | ✅ | 
benchmark-paz-12-1 |  | ok | 3 | 6 | 1.000000 | 1.0000 | 1.0000 | 0.0e+0 | ✅ | 
benchmark-paz-13-1 |  | ok | 5 | 6 | 1.000000 | 0.7074 | 0.7074 | 1.1e-16 | ✅ | 
benchmark-paz-4-1 |  | sin-modal |  |  | — | — | — | — | sin-modal | hasModal=false en el registro
